"","county","state","tract","B01001_001E","ukrainian","turkish","romanian","russian","polish","german","italian","french","arabian","fips","boro_ct2010"
"1","47","36","019200",3702,37,15,47,2,5,0,257,0,42,3,"3019200"
"2","47","36","115600",4091,0,0,0,0,0,0,34,0,0,3,"3115600"
"3","47","36","062600",2817,76,28,0,264,71,9,339,0,0,3,"3062600"
"4","47","36","019100",2826,30,0,0,50,43,152,195,87,76,3,"3019100"
"5","47","36","036600",5165,185,146,0,565,42,27,53,0,0,3,"3036600"
"6","47","36","007800",5459,0,0,0,34,8,99,146,9,0,3,"3007800"
"7","47","36","015400",0,0,0,0,0,0,0,0,0,0,3,"3015400"
"8","47","36","058900",1817,17,0,6,34,550,89,145,38,11,3,"3058900"
"9","47","36","037900",3683,7,0,0,9,9,108,27,20,11,3,"3037900"
"10","47","36","017900",4540,16,25,5,54,64,161,104,14,65,3,"3017900"
"11","47","36","090600",3857,0,0,0,20,136,20,0,0,0,3,"3090600"
"12","47","36","017800",3058,26,0,0,150,49,0,177,0,83,3,"3017800"
"13","47","36","036700",1405,0,0,0,0,23,10,13,0,0,3,"3036700"
"14","47","36","036200",3480,136,13,40,463,9,34,29,0,17,3,"3036200"
"15","47","36","048200",5300,231,24,0,231,21,98,96,8,13,3,"3048200"
"16","47","36","055000",3496,221,68,48,434,105,59,16,0,153,3,"3055000"
"17","47","36","113000",4000,0,0,0,0,0,69,15,0,0,3,"3113000"
"18","47","36","037100",4491,0,0,9,14,0,0,76,0,212,3,"3037100"
"19","47","36","041200",3161,99,0,0,160,17,15,420,0,59,3,"3041200"
"20","47","36","012902",2114,35,0,8,51,55,176,131,62,26,3,"3012902"
"21","47","36","016500",5859,0,11,56,730,600,663,386,126,123,3,"3016500"
"22","47","36","084600",1882,0,0,0,1,0,16,5,0,0,3,"3084600"
"23","47","36","043100",5369,19,8,8,41,76,139,142,38,47,3,"3043100"
"24","47","36","041800",2598,29,5,0,76,33,5,0,0,160,3,"3041800"
"25","47","36","006600",3566,10,0,147,126,55,145,555,31,437,3,"3006600"
"26","47","36","016000",3983,79,0,0,93,60,137,443,21,604,3,"3016000"
"27","47","36","037000",4495,387,0,19,471,105,43,320,28,102,3,"3037000"
"28","47","36","087800",2698,0,0,0,0,0,0,0,0,0,3,"3087800"
"29","47","36","112000",3048,0,0,0,0,30,0,0,0,0,3,"3112000"
"30","47","36","028600",5115,238,0,0,379,338,96,269,0,509,3,"3028600"
"31","47","36","012000",1154,0,0,0,13,0,0,8,0,12,3,"3012000"
"32","47","36","012100",1948,20,0,0,50,49,154,217,9,25,3,"3012100"
"33","47","36","003300",3512,19,10,0,85,126,312,295,100,217,3,"3003300"
"34","47","36","041300",4062,0,0,0,22,12,30,0,28,0,3,"3041300"
"35","47","36","015100",4185,35,0,27,164,448,249,413,99,0,3,"3015100"
"36","47","36","015700",4079,0,0,16,206,77,456,490,66,14,3,"3015700"
"37","47","36","015000",1547,0,3,5,25,16,55,863,84,33,3,"3015000"
"38","47","36","035200",1083,164,0,0,118,0,0,47,0,0,3,"3035200"
"39","47","36","036501",2916,0,0,0,0,0,0,10,16,0,3,"3036501"
"40","47","36","117800",1892,0,0,0,0,0,2,0,0,0,3,"3117800"
"41","47","36","043800",2556,137,32,0,199,26,20,59,77,98,3,"3043800"
"42","47","36","118202",3279,0,0,0,0,7,18,25,0,0,3,"3118202"
"43","47","36","011200",6561,29,7,58,102,172,43,102,25,22,3,"3011200"
"44","47","36","043000",3602,108,6,0,201,12,0,225,0,22,3,"3043000"
"45","47","36","003000",1780,6,0,2,146,20,31,319,9,179,3,"3003000"
"46","47","36","037700",4354,0,0,0,20,32,119,119,16,0,3,"3037700"
"47","47","36","031500",4776,22,0,0,26,108,54,172,73,0,3,"3031500"
"48","47","36","041401",1653,30,11,14,52,0,6,73,0,193,3,"3041401"
"49","47","36","041500",4409,0,0,9,0,0,37,23,0,19,3,"3041500"
"50","47","36","020700",4708,14,0,9,211,268,315,477,64,17,3,"3020700"
"51","47","36","004700",2025,6,15,11,56,48,142,158,66,0,3,"3004700"
"52","47","36","113400",3163,0,0,0,0,0,0,12,0,14,3,"3113400"
"53","47","36","990100",0,0,0,0,0,0,0,0,0,0,3,"3990100"
"54","47","36","007400",5856,8,0,0,14,32,16,75,17,186,3,"3007400"
"55","47","36","038700",4201,0,0,0,19,17,96,4,28,40,3,"3038700"
"56","47","36","039200",2546,173,0,7,247,46,10,210,10,109,3,"3039200"
"57","47","36","018000",3298,65,0,4,34,24,17,520,0,193,3,"3018000"
"58","47","36","048600",3355,17,0,0,69,42,5,48,0,37,3,"3048600"
"59","47","36","028100",5076,10,0,0,0,25,113,122,0,0,3,"3028100"
"60","47","36","019400",4031,37,0,0,42,131,40,286,0,63,3,"3019400"
"61","47","36","013700",3494,8,18,8,158,207,266,376,32,26,3,"3013700"
"62","47","36","020400",1992,0,0,0,20,60,38,724,23,169,3,"3020400"
"63","47","36","098400",2207,0,0,0,29,0,5,5,0,0,3,"3098400"
"64","47","36","041000",1977,58,0,3,82,51,47,667,13,66,3,"3041000"
"65","47","36","042600",4373,143,0,0,213,104,15,466,0,90,3,"3042600"
"66","47","36","116400",3394,0,0,0,0,0,0,18,0,0,3,"3116400"
"67","47","36","066200",1670,74,9,0,217,15,113,394,17,13,3,"3066200"
"68","47","36","002100",4910,17,0,10,206,260,561,428,116,109,3,"3002100"
"69","47","36","118600",2694,0,0,0,0,0,0,16,0,0,3,"3118600"
"70","47","36","047400",2717,15,0,6,87,504,126,43,0,0,3,"3047400"
"71","47","36","026900",3302,0,0,0,32,12,115,17,8,0,3,"3026900"
"72","47","36","009600",6477,0,0,0,17,41,117,203,54,119,3,"3009600"
"73","47","36","028400",3712,68,88,18,347,106,24,417,0,111,3,"3028400"
"74","47","36","030300",5120,0,0,0,8,0,8,7,0,0,3,"3030300"
"75","47","36","096200",2051,0,0,10,7,2,0,7,0,0,3,"3096200"
"76","47","36","014900",6318,76,12,12,357,205,885,804,160,55,3,"3014900"
"77","47","36","078800",3307,0,0,0,0,14,0,0,0,0,3,"3078800"
"78","47","36","007500",4700,11,14,58,124,246,416,462,372,0,3,"3007500"
"79","47","36","105801",5870,22,0,0,640,198,60,0,0,0,3,"3105801"
"80","47","36","003900",2411,44,0,8,22,78,207,143,118,78,3,"3003900"
"81","47","36","043300",4284,0,0,0,0,8,55,26,0,0,3,"3043300"
"82","47","36","048900",3595,0,0,0,0,0,0,0,13,0,3,"3048900"
"83","47","36","052800",1868,28,5,15,125,153,36,81,19,26,3,"3052800"
"84","47","36","012700",4768,10,12,7,41,50,181,220,126,7,3,"3012700"
"85","47","36","010600",4862,0,0,0,25,54,18,12,0,37,3,"3010600"
"86","47","36","010800",4303,9,0,0,29,46,51,78,9,20,3,"3010800"
"87","47","36","017100",4098,18,7,25,207,193,608,666,101,45,3,"3017100"
"88","47","36","039600",1824,0,0,12,22,45,0,250,0,309,3,"3039600"
"89","47","36","014300",3631,7,0,0,43,175,344,313,90,31,3,"3014300"
